0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,

Node A running in test, with test running for 2 minutes, messages generated twice per second



1,21.53.53,3.064,3,35940, 23358, 824, 24325, 16446, 41263,
1,21.54.19,28.997,2,RTSSendDataFrames,1,2,3,

1,21.54.22,32.111,2,RTSSendDataFrames,1,2,3,

1,21.54.22,32.223,2,RTSSendDataFrames,1,2,3,

1,21.54.22,32.335,2,RTSSendDataFrames,1,2,3,

1,21.54.22,32.448,2,RTSSendDataFrames,1,2,3,

1,21.54.22,32.56,2,RTSSendDataFrames,1,2,3,

1,21.54.22,32.672,2,RTSSendDataFrames,1,2,3,

1,21.54.22,32.785,2,RTSSendDataFrames,1,2,3,

1,21.54.23,32.897,2,RTSSendDataFrames,1,2,3,

1,21.54.23,33.009,2,RTSSendDataFrames,1,2,3,

1,21.54.23,33.122,2,RTSSendDataFrames,1,2,3,

1,21.54.23,33.234,2,RTSSendDataFrames,1,2,3,

1,21.54.23,33.346,2,RTSSendDataFrames,1,2,3,

1,21.54.26,36.388,2,RTSSendDataFrames,1,2,3,

1,21.54.26,36.5,2,RTSSendDataFrames,1,2,3,

1,21.54.26,36.613,2,RTSSendDataFrames,1,2,3,

1,21.54.26,36.725,2,RTSSendDataFrames,1,2,3,

1,21.54.26,36.837,2,RTSSendDataFrames,1,2,3,

1,21.54.27,36.95,2,RTSSendDataFrames,1,2,3,

1,21.54.27,37.062,2,RTSSendDataFrames,1,2,3,

1,21.54.27,37.174,2,RTSSendDataFrames,1,2,3,

1,21.54.27,37.287,2,RTSSendDataFrames,1,2,3,

1,21.54.27,37.399,2,RTSSendDataFrames,1,2,3,

1,21.54.27,37.511,2,RTSSendDataFrames,1,2,3,

1,21.54.27,37.624,2,RTSSendDataFrames,1,2,3,

1,21.54.30,40.738,2,RTSSendDataFrames,1,2,3,

1,21.54.30,40.85,2,RTSSendDataFrames,1,2,3,

1,21.54.31,40.962,2,RTSSendDataFrames,1,2,3,

1,21.54.31,41.075,2,RTSSendDataFrames,1,2,3,

1,21.54.31,41.187,2,RTSSendDataFrames,1,2,3,

1,21.54.31,41.299,2,RTSSendDataFrames,1,2,3,

1,21.54.31,41.412,2,RTSSendDataFrames,1,2,3,

1,21.54.31,41.524,2,RTSSendDataFrames,1,2,3,

1,21.54.31,41.636,2,RTSSendDataFrames,1,2,3,

1,21.54.31,41.749,2,RTSSendDataFrames,1,2,3,

1,21.54.31,41.861,2,RTSSendDataFrames,1,2,3,

1,21.54.32,41.973,2,RTSSendDataFrames,1,2,3,

1,21.54.35,45.087,2,RTSSendDataFrames,1,2,3,

1,21.54.35,45.2,2,RTSSendDataFrames,1,2,3,

1,21.54.35,45.312,2,RTSSendDataFrames,1,2,3,

1,21.54.35,45.424,2,RTSSendDataFrames,1,2,3,

1,21.54.35,45.537,2,RTSSendDataFrames,1,2,3,

1,21.54.35,45.649,2,RTSSendDataFrames,1,2,3,

1,21.54.35,45.761,2,RTSSendDataFrames,1,2,3,

1,21.54.35,45.874,2,RTSSendDataFrames,1,2,3,

1,21.54.36,45.986,2,RTSSendDataFrames,1,2,3,

1,21.54.36,46.098,2,RTSSendDataFrames,1,2,3,

1,21.54.36,46.21,2,RTSSendDataFrames,1,2,3,

1,21.54.36,46.323,2,RTSSendDataFrames,1,2,3,

1,21.54.39,49.438,2,RTSSendDataFrames,1,2,3,

1,21.54.39,49.549,2,RTSSendDataFrames,1,2,3,

1,21.54.39,49.662,2,RTSSendDataFrames,1,2,3,

1,21.54.39,49.774,2,RTSSendDataFrames,1,2,3,

1,21.54.40,49.886,2,RTSSendDataFrames,1,2,3,

1,21.54.40,49.999,2,RTSSendDataFrames,1,2,3,

1,21.54.40,50.111,2,RTSSendDataFrames,1,2,3,

1,21.54.40,50.223,2,RTSSendDataFrames,1,2,3,

1,21.54.40,50.335,2,RTSSendDataFrames,1,2,3,

1,21.54.40,50.448,2,RTSSendDataFrames,1,2,3,

1,21.54.40,50.56,2,RTSSendDataFrames,1,2,3,

1,21.54.40,50.672,2,RTSSendDataFrames,1,2,3,

1,21.54.43,53.781,4,RTSSendDataFrames,Data frame not received

1,21.54.43,53.788,3,22736, 7135, 31669, 16446, 12270, 30368, 54642, 51189, 38342, 35940, 10857, 824, 23358, 2624, 29536, 50677, 10861, 32498, 25481, 36473, 2224, 24325, 59416, 41263, 33202,

1,21.54.43,53.794,2,sendHello,1,,0,

1,21.54.44,54.313,3,22736, 7135, 31669, 16446, 12270, 30368, 54642, 51189, 38342, 35940, 11608, 10857, 824, 23358, 2624, 29536, 50677, 10861, 32498, 25481, 36473, 2224, 24325, 59416, 41263, 33202,

1,21.54.44,54.824,3,22736, 7135, 31669, 16446, 12270, 30368, 54642, 51189, 38342, 35940, 11608, 10857, 824, 23358, 2624, 29536, 50677, 10861, 32498, 25481, 36473, 2224, 29499, 24325, 59416, 41263, 33202,

1,21.54.45,55.334,3,22736, 7135, 31669, 16446, 12270, 30368, 54642, 51189, 38342, 35940, 11608, 10857, 824, 23358, 2624, 29536, 50677, 10861, 32498, 25481, 36473, 2224, 29499, 24325, 59416, 41263, 33202, 44977,

1,21.54.45,55.845,3,22736, 7135, 31669, 16446, 12270, 30368, 54642, 51189, 38342, 35940, 11608, 10857, 824, 23358, 2624, 29536, 50677, 10861, 32498, 25481, 36473, 2224, 29499, 24325, 59416, 41263, 33202, 44977, 3767,

1,21.54.46,56.356,3,2224, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 54642, 7135, 59416, 44977, 31669, 2624, 3767,

1,21.54.46,56.868,3,5083, 2224, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 54642, 7135, 59416, 44977, 31669, 2624,

