6,17.25.37,71.267,2,sendHello,6,,0
6,17.25.37,71.386,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.38,71.696,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.38,71.902,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.38,72.109,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.39,72.727,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.39,73.345,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.40,73.961,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.40,74.579,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.41,75.196,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.41,75.294,2,sendHello,6,,0
6,17.25.41,75.415,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.41,75.624,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.42,75.83,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.42,76.45,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.43,77.067,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.43,77.683,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.44,78.301,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.45,79.008,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.45,79.14,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.45,79.346,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.45,79.553,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.46,80.17,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.47,80.787,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.47,81.404,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.48,82.022,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.49,82.731,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.49,82.863,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.49,83.068,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.49,83.276,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.50,83.892,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.50,84.509,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.51,85.126,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.51,85.136,2,sendHello,6,,0
6,17.25.51,85.349,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.52,85.721,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.52,85.741,2,sendRTS,6,7,1
6,17.25.52,86.184,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.19,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.196,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.202,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.344,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.349,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.355,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.36,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.365,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.37,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.462,4,RTSAntiEntropy,That strange error where  we can't decode a message
