0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,
6,23.53.54,0.003,3,
6,23.53.55,0.614,3,
6,23.53.55,1.226,3,
6,23.53.56,1.837,3,
6,23.53.56,2.448,3,
6,23.53.57,3.058,3,
6,23.53.58,3.668,3,
6,23.53.58,4.278,3,
6,23.53.59,4.889,3,
6,23.53.59,5.5,3,
6,23.54.0,6.11,3,
6,23.54.1,6.72,3,
6,23.54.1,7.33,3,
6,23.54.2,7.94,3,
6,23.54.3,8.551,3,
6,23.54.3,9.162,3,
6,23.54.4,9.773,3,
6,23.54.4,10.382,3,
6,23.54.5,10.993,3,
6,23.54.6,11.604,3,
6,23.54.6,12.215,3,
6,23.54.7,12.824,3,
6,23.54.7,13.435,3,
6,23.54.8,14.046,3,
6,23.54.9,14.656,3,
6,23.54.9,15.369,3,
6,23.54.10,15.981,3,
6,23.54.11,16.591,3,
6,23.54.11,17.202,3,
6,23.54.12,17.812,3,
6,23.54.12,18.423,3,
6,23.54.13,19.033,3,
6,23.54.14,19.643,3,
6,23.54.14,20.255,3,
6,23.54.14,20.26,2,sendHello,6,,0
6,23.54.14,20.376,3,
6,23.54.15,20.696,3,
6,23.54.16,21.64,6,True
6,23.54.16,21.644,3,
6,23.54.16,21.651,3,
6,23.54.16,22.262,3,
6,23.54.17,22.873,3,
6,23.54.17,23.483,3,
6,23.54.18,24.094,3,
6,23.54.19,24.705,3,
6,23.54.19,24.872,3,
6,23.54.19,24.879,3,
6,23.54.19,25.49,3,
6,23.54.20,26.1,3,
6,23.54.21,26.812,3,
6,23.54.21,27.423,3,
6,23.54.22,28.035,3,
6,23.54.23,28.644,3,
6,23.54.23,29.256,3,
6,23.54.24,29.865,3,
6,23.54.24,30.476,3,
6,23.54.25,31.087,3,
6,23.54.26,31.698,3,
6,23.54.26,32.307,3,
6,23.54.27,32.918,3,
6,23.54.28,33.528,3,
6,23.54.28,34.139,3,
6,23.54.29,34.751,3,
6,23.54.29,35.36,3,
6,23.54.30,35.969,3,
6,23.54.31,36.581,3,
6,23.54.31,37.191,3,
6,23.54.32,37.801,3,
6,23.54.32,38.413,3,
6,23.54.33,39.023,3,
6,23.54.34,39.633,3,
6,23.54.34,40.245,3,
6,23.54.35,40.854,3,
6,23.54.35,40.86,2,sendHello,6,,0
6,23.54.35,41.078,3,
6,23.54.35,41.4,3,
6,23.54.36,42.354,6,True
6,23.54.36,42.359,3,3754
6,23.54.36,42.367,3,3754
6,23.54.37,42.978,3,3754
6,23.54.38,43.59,3,3754
6,23.54.38,44.203,3,3754
6,23.54.39,44.815,3,3754
6,23.54.39,45.427,3,3754
6,23.54.40,45.7,3,3754
6,23.54.40,45.709,3,3754
6,23.54.40,46.319,3,3754
6,23.54.41,46.931,3,3754
