Logging started at 23.30.3
6,23.30.4,0.004,3,
6,23.30.4,0.616,3,
6,23.30.5,1.227,3,
6,23.30.5,1.838,3,
6,23.30.6,2.449,3,
6,23.30.7,3.058,3,
6,23.30.7,3.67,3,
6,23.30.8,4.28,3,
6,23.30.8,4.286,2,sendHello,6,,0
6,23.30.8,4.401,3,
6,23.30.9,5.013,3,
6,23.30.9,5.623,3,
6,23.30.10,6.232,3,
6,23.30.10,6.844,3,
6,23.30.11,7.079,3,
6,23.30.11,7.086,3,
6,23.30.11,7.696,3,
6,23.30.12,8.308,3,
6,23.30.12,8.312,2,sendHello,6,,0
6,23.30.12,8.429,3,
6,23.30.12,8.752,3,
6,23.30.13,9.704,6,True
6,23.30.13,9.708,3,3059
6,23.30.13,9.716,3,3059
6,23.30.14,10.426,3,3059
6,23.30.15,11.041,3,3059
6,23.30.15,11.653,3,3059
6,23.30.16,12.266,3,3059
6,23.30.16,12.878,3,3059
6,23.30.16,12.885,2,sendHello,6,,0
6,23.30.17,13.001,3,3059
6,23.30.17,13.436,3,3059
6,23.30.18,14.44,6,True
6,23.30.18,14.444,3,3059
6,23.30.18,14.452,3,3059
6,23.30.19,15.063,3,3059
6,23.30.19,15.676,3,3059
6,23.30.20,16.287,3,3059
6,23.30.20,16.898,3,3059
6,23.30.20,16.905,2,sendHello,6,,0
6,23.30.21,17.021,3,3059
6,23.30.21,17.357,3,3059
6,23.30.21,17.366,3,3059
6,23.30.22,18.078,3,3059
6,23.30.22,18.692,3,3059
6,23.30.23,19.305,3,3059
6,23.30.23,19.917,3,3059
6,23.30.24,20.529,3,3059
6,23.30.25,21.141,3,3059
6,23.30.25,21.147,2,sendHello,6,,0
6,23.30.25,21.264,3,3059
6,23.30.25,21.589,3,3059
6,23.30.26,22.545,6,True
6,23.30.26,22.55,3,3475, 3059
6,23.30.26,22.558,3,3475, 3059
6,23.30.27,23.17,3,3475, 3059
6,23.30.27,23.784,3,3475, 3059
6,23.30.28,24.397,3,3475, 3059
6,23.30.29,25.01,3,3475, 3059
6,23.30.29,25.623,3,3475, 3059
6,23.30.29,25.63,2,sendHello,6,,0
6,23.30.29,25.747,3,3475, 3059
6,23.30.30,26.46,3,3475, 3059
6,23.30.31,27.076,3,3475, 3059
6,23.30.31,27.689,3,3475, 3059
6,23.30.32,28.302,3,3475, 3059
6,23.30.32,28.915,3,3475, 3059
6,23.30.33,29.528,3,3475, 3059
6,23.30.34,30.141,3,3475, 3059
6,23.30.34,30.148,2,sendHello,6,,0
6,23.30.34,30.265,3,3475, 3059
6,23.30.34,30.591,3,3475, 3059
6,23.30.35,31.547,6,True
6,23.30.35,31.552,3,3475, 3059
6,23.30.35,31.559,3,3475, 3059
6,23.30.36,32.173,3,3475, 3059
6,23.30.36,32.785,3,3475, 3059
6,23.30.37,33.398,3,3475, 3059
6,23.30.38,34.108,3,3475, 3059
6,23.30.38,34.723,3,3475, 3059
6,23.30.38,34.73,2,sendHello,6,,0
6,23.30.38,34.848,3,3475, 3059
6,23.30.39,35.178,3,3475, 3059
6,23.30.40,36.142,6,True
6,23.30.40,36.147,3,3059, 3922, 3475
6,23.30.40,36.155,3,3059, 3922, 3475
6,23.30.40,36.769,3,3059, 3922, 3475
6,23.30.41,37.384,3,3059, 3922, 3475
6,23.30.42,37.996,3,3059, 3922, 3475
6,23.30.42,38.61,3,3059, 3922, 3475
6,23.30.43,39.225,3,3059, 3922, 3475
6,23.30.43,39.232,2,sendHello,6,,0
6,23.30.43,39.35,3,3059, 3922, 3475
6,23.30.43,39.68,3,3059, 3922, 3475
6,23.30.44,40.645,6,True
6,23.30.44,40.65,3,3059, 3922, 3475
6,23.30.44,40.658,3,3059, 3922, 3475
6,23.30.45,41.272,3,3059, 3922, 3475
6,23.30.45,41.886,3,3059, 3922, 3475
6,23.30.46,42.499,3,3059, 3922, 3475
6,23.30.47,43.112,3,3059, 3922, 3475
6,23.30.47,43.726,3,3059, 3922, 3475
6,23.30.47,43.734,2,sendHello,6,,0
6,23.30.47,43.85,3,3059, 3922, 3475
6,23.30.48,44.294,3,3059, 3922, 3475
6,23.30.49,45.271,6,True
6,23.30.49,45.275,3,3059, 3922, 3475
6,23.30.49,45.284,3,3059, 3922, 3475
6,23.30.50,45.998,3,3059, 3922, 3475
6,23.30.50,46.614,3,3059, 3922, 3475
6,23.30.51,47.228,3,3059, 3922, 3475
6,23.30.51,47.843,3,3059, 3922, 3475
6,23.30.51,47.85,2,sendHello,6,,0
6,23.30.52,47.967,3,3059, 3922, 3475
6,23.30.52,48.308,3,3059, 3922, 3475
6,23.30.52,48.318,3,3059, 3922, 3475
6,23.30.52,48.932,3,3059, 3922, 3475
6,23.30.53,49.546,3,3059, 3922, 3475
6,23.30.54,50.159,3,3059, 3922, 3475
6,23.30.54,50.773,3,3059, 3922, 3475
6,23.30.55,51.388,3,3059, 3922, 3475
6,23.30.56,52.001,3,3059, 3922, 3475
6,23.30.56,52.106,2,sendHello,6,,0
6,23.30.56,52.225,3,3059, 3922, 3475
6,23.30.56,52.669,3,3059, 3922, 3475
6,23.30.57,53.674,6,True
6,23.30.57,53.679,3,3059, 3922, 3475
6,23.30.57,53.687,3,3059, 3922, 3475
6,23.30.58,54.302,3,3059, 3922, 3475
6,23.30.58,54.916,3,3059, 3922, 3475
6,23.30.59,55.529,3,3059, 3922, 3475
6,23.31.0,56.143,3,3059, 3922, 3475
6,23.31.0,56.151,2,sendHello,6,,0
6,23.31.0,56.267,3,3059, 3922, 3475
6,23.31.0,56.608,3,3059, 3922, 3475
6,23.31.0,56.618,3,3059, 3922, 3475
6,23.31.1,57.33,3,3059, 3922, 3475
6,23.31.2,57.946,3,3059, 3922, 3475
6,23.31.2,58.56,3,3059, 3922, 3475
6,23.31.3,59.175,3,3059, 3922, 3475
6,23.31.3,59.788,3,3059, 3922, 3475
6,23.31.4,60.402,3,3059, 3922, 3475
6,23.31.4,60.41,2,sendHello,6,,0
6,23.31.4,60.526,3,3059, 3922, 3475
6,23.31.4,60.856,3,3059, 3922, 3475
6,23.31.5,61.817,6,True
6,23.31.5,61.822,3,3059, 3922, 3475
6,23.31.5,61.83,3,3059, 3922, 3475
