0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,
9,17.25.36,50.723,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.37,51.066,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.37,51.193,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.37,51.481,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.37,51.75,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.37,51.917,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.38,51.937,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.38,52.124,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.38,52.333,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.38,52.538,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.39,53.16,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.39,53.89,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.40,54.512,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.41,55.135,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.41,55.757,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.42,55.946,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.42,55.966,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.42,56.589,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.43,57.21,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.43,57.833,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.44,58.565,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.45,59.187,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.45,59.57,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.45,59.776,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.46,59.983,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.46,60.606,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.47,61.229,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.47,61.849,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.48,62.578,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.49,63.202,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.49,63.499,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.49,63.706,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.50,64.327,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.51,64.949,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.51,65.571,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.51,65.583,2,sendHello,9,,0
9,17.25.51,65.704,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.52,66.209,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.52,66.227,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.52,66.391,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.52,66.618,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.53,67.241,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.53,67.516,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.53,67.724,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.54,68.346,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.54,68.744,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.55,69.212,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.55,69.429,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.55,69.625,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.58,72.848,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.58,72.859,2,sendHello,9,,0
9,17.25.59,72.979,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.59,73.311,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.26.5,79.011,6,True
9,17.26.5,79.016,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.5,79.15,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.5,79.175,2,sendHello,9,,0
9,17.26.5,79.322,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.6,79.968,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.6,80.612,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.7,81.362,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.8,82.07,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.8,82.265,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.8,82.308,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.8,82.558,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.8,82.868,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.9,83.176,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.9,83.689,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.9,83.891,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.10,84.15,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.10,84.308,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.10,84.514,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.10,84.735,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.11,85.152,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.11,85.358,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.11,85.566,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.12,86.214,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
